ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2, Theta_N_1, Theta_N_2, D_Theta_N_1, D_Theta_N_2, DD_Theta_N_1, DD_Theta_N_2
1, 0.050001201432107, -1.92617768473394, -1.430799111380479, 0.0012577623865384, 0.0042654470271202, 1.2577623865384369, 4.265447027120207, -1.9994382144916796, -0.8888272572984716, -1.9245516061782837, -1.424899697303772, 0.07486870694902523, 0.25360869439139827, 0.049807058721853, 0.1690684164572227
2, 0.0510012254607492, -1.92617579809036, -1.4307927132099385, 0.0025155247730768, 0.0085308940542404, 1.2577623865384369, 4.265447027120207, -1.9987978176494416, -0.8866973166778168, -1.9244853258132935, -1.4246760606765747, 0.07496848274610916, 0.25394745813948555, 0.1494519438707432, 0.507451240276442
3, 0.0520012494893913, -1.9261726536843935, -1.4307820495923704, 0.0037732871596153, 0.0127963410813606, 1.2577623865384369, 4.265447027120207, -1.9981528142392189, -0.88456848890755, -1.924418330192566, -1.4244483709335327, 0.07516704241171726, 0.2546216380914954, 0.24737004859981926, 0.8398847054979278
4, 0.0530012735180334, -1.9261682515160408, -1.4307671205277757, 0.0050310495461537, 0.0170617881084808, 1.2577623865384369, 4.265447027120207, -1.997503203952616, -0.8824407736808949, -1.9243494272232056, -1.4242160320281982, 0.07546245889277656, 0.2556246312801601, 0.34296069385966377, 1.1644084620811097
5, 0.0540012975466756, -1.9261625915853011, -1.4307479260161535, 0.0062888119326921, 0.021327235135601, 1.2577623865384369, 4.265447027120207, -1.996848986393129, -0.880314170603421, -1.9242802858352661, -1.4239791631698608, 0.07585188743013052, 0.25694678897221657, 0.43527286469987364, 1.4777664817130456
6, 0.0550013215753177, -1.9261556738921757, -1.4307244660575045, 0.0075465743192306, 0.0255926821627212, 1.2577623865384369, 4.265447027120207, -1.9961901610761472, -0.8781886791930417, -1.9242087602615356, -1.4237383604049683, 0.07633168891473416, 0.2585756692756628, 0.5235752554678114, 1.7774268743783295
7, 0.0560013456039599, -1.9261474984366629, -1.430696740651828, 0.008804336705769, 0.0298581291898414, 1.2577623865384369, 4.265447027120207, -1.9955267274289596, -0.8760642988800116, -1.924136757850647, -1.4234932661056519, 0.07689749836551744, 0.26049641337880924, 0.607183547567739, 2.061143368735973
8, 0.057001369632602, -1.926138065218764, -1.4306647497991247, 0.0100620990923075, 0.0341235762169616, 1.2577623865384369, 4.265447027120207, -1.994858684790755, -0.8739410290069219, -1.9240630865097046, -1.4232438802719116, 0.07754434548506156, 0.2626921342139299, 0.685572851871544, 2.327097733420478
9, 0.0580013936612442, -1.9261273742384784, -1.4306284934993942, 0.0113198614788459, 0.0383890232440819, 1.2577623865384369, 4.265447027120207, -1.99418603241263, -0.8718188688286975, -1.9239879846572876, -1.4229904413223267, 0.07826680839667803, 0.2651443493919407, 0.7583564328173995, 2.5739386942534876
10, 0.0590014176898863, -1.9261154254958064, -1.4305879717526366, 0.0125776238653843, 0.0426544702712021, 1.2577623865384369, 4.265447027120207, -1.9935087694575957, -0.8696978175125912, -1.9239121675491333, -1.4227327108383179, 0.07905913423161127, 0.2678334672995625, 0.8252584641815861, 2.800776137609925
11, 0.0600014417185284, -1.9261022189907475, -1.430543184558852, 0.0138353862519228, 0.0469199172983223, 1.2577623865384369, 4.265447027120207, -1.9928268950005772, -0.8675778741381784, -1.9238344430923462, -1.4224708080291748, 0.07991536165447714, 0.2707392237129861, 0.8861506492203801, 3.007176416435784
12, 0.0610014657471706, -1.9260877547233024, -1.43049413191804, 0.0150931486384612, 0.0511853643254425, 1.2577623865384369, 4.265447027120207, -1.992140408028431, -0.8654590376973534, -1.9237562417984009, -1.4222044944763184, 0.0808294725226927, 0.2738411462664807, 0.9410261987716745, 3.193122038703256
13, 0.0620014897758127, -1.9260720326934704, -1.430440813830201, 0.0163509110249996, 0.0554508113525627, 1.2577623865384369, 4.265447027120207, -1.991449307439944, -0.8633413070943198, -1.9236763715744019, -1.421933650970459, 0.08179548829439137, 0.2771189192472511, 0.9899889480214775, 3.3589621563334724
14, 0.0630015138044549, -1.9260550529012523, -1.4303832302953348, 0.0176086734115381, 0.0597162583796829, 1.2577623865384369, 4.265447027120207, -1.990753592045845, -0.8612246811455865, -1.9235948324203491, -1.4216585159301758, 0.08280759666044425, 0.2805527765598258, 1.0332478309122588, 3.5054364135355414
15, 0.064001537833097, -1.926036815346648, -1.4303213813134414, 0.0188664357980765, 0.0639817054068031, 1.2577623865384369, 4.265447027120207, -1.9900532605688144, -0.8591091585799591, -1.92351233959198, -1.4213792085647583, 0.08386022326940806, 0.2841238297015825, 1.0710758186222977, 3.6335186091917677
16, 0.0650015618617392, -1.926017320029656, -1.4302552668845212, 0.020124198184615, 0.0682471524339233, 1.2577623865384369, 4.265447027120207, -1.9893483116434916, -0.8569947380385311, -1.9234286546707153, -1.421095609664917, 0.08494811232674032, 0.2878142529011667, 1.1038415961394474, 3.744394736048152
