ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2, Theta_N_1, Theta_N_2
1, 0.0, -1.7601450805194612, -1.2113207450786916, 0.05158282960176769, -0.0011376387574012392, 5.158282960176764, -0.11376387574012382, -1.1695180102616332, -0.8746889949768586, -1.7591692291818752, -1.2120022876638208
2, 0.01000182182546912, -1.7593713380754346, -1.2113378096600524, 0.10316565920353538, -0.0022752775148024785, 5.158282960176764, -0.11376387574012382, -1.1410038529895028, -0.8752830810701835, -1.759855204115017, -1.2136064340232173
3, 0.02000364365093824, -1.7580817673353903, -1.2113662506289875, 0.15474848880530306, -0.0034129162722037177, 5.158282960176764, -0.11376387574012382, -1.11067245093432, -0.8758927872081279, -1.759145797598398, -1.2104305035001204
4, 0.03000546547640736, -1.7562763682993285, -1.2114060679854965, 0.20633131840707075, -0.004550555029604957, 5.158282960176764, -0.11376387574012382, -1.078520692097884, -0.8765162773064147, -1.7561901680410186, -1.2116418573971182
5, 0.04000728730187648, -1.753955140967249, -1.2114572617295796, 0.25791414800883844, -0.005688193787006196, 5.158282960176764, -0.11376387574012382, -1.044544245113312, -0.8771509819857044, -1.7549143618026355, -1.211513858630923
6, 0.050009109127345595, -1.7511180853391517, -1.2115198318612368, 0.3094969776106061, -0.006825832544407435, 5.158282960176764, -0.11376387574012382, -1.0087375847228737, -0.8777935997378082, -1.751074502723352, -1.2121678879434592
7, 0.06001093095281472, -1.7477652014150369, -1.2115937783804678, 0.36107980721237376, -0.007963471301808675, 5.158282960176764, -0.11376387574012382, -0.9710940246021024, -0.8784400984644458, -1.7483902981368316, -1.2110580207825385
8, 0.07001275277828384, -1.7438964891949043, -1.211679101287273, 0.4126626368141415, -0.009101110059209914, 5.158282960176764, -0.11376387574012382, -0.9316057575793608, -0.8790857174180224, -1.7437828549246113, -1.2110079864509775
9, 0.08001457460375296, -1.739511948678754, -1.211775800581652, 0.4642454664159092, -0.010238748816611153, 5.158282960176764, -0.11376387574012382, -0.8902639033098444, -0.8797249695803847, -1.739319754920578, -1.2128002647698768
10, 0.09001639642922207, -1.7346115798665862, -1.211883876263605, 0.5158282960176769, -0.011376387574012391, 5.158282960176764, -0.11376387574012382, -0.8470585634721091, -0.8803516445219788, -1.7367199335349417, -1.2119845652042107
