ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2
1, 0.0, -0.6631194132637485, 1.3672239124204355, -0.0002543201363947034, 0.004658153227143913, -0.16950272185844995, 3.1053824061100244, 3.48390832672597, 0.7808861195377323
2, 0.0010001365933615626, -0.6631196675838849, 1.3672285705736626, -0.00042382285825315336, 0.007763535633253937, -0.16943666936164448, 3.105302789574438, 3.4838230810619377, 0.7824361525039731
3, 0.002000273186723125, -0.6631200914067431, 1.367236334109296, -0.0005932595276147978, 0.010868838422828375, -0.1693441963324105, 3.1051913287338806, 3.4837366479269867, 0.7839843416640333
4, 0.0030004097800846877, -0.6631206846662707, 1.3672472029477187, -0.0007626037239472083, 0.013974029751562256, -0.16922530410301562, 3.1050480271410663, 3.4836490405663376, 0.7855306710438846
5, 0.00400054637344625, -0.6631214472699947, 1.3672611769774703, -0.0009318290280502239, 0.017079077778703322, -0.16907999400572749, 3.104872887682575, 3.4835602722484396, 0.7870751246376533
6, 0.005000682966807813, -0.6631223790990227, 1.367278256055249, -0.0011009090220559514, 0.020183950666385897, -0.168908266373613, 3.10466591391112, 3.4834703563600438, 0.7886176864369754
7, 0.006000819560169375, -0.6631234800080448, 1.3672984400059154, -0.0012698172884295644, 0.023288616580297017, -0.16871012464836355, 3.1044271107116828, 3.4833793061082794, 0.7901583403768708
8, 0.007000956153530938, -0.6631247498253332, 1.3673217286224957, -0.001438527413077928, 0.0263930436910087, -0.16848556949611293, 3.104156486077869, 3.48328713498764, 0.7916970704444651
9, 0.0080010927468925, -0.6631261883527463, 1.3673481216661867, -0.001607012982574041, 0.02949720017708657, -0.1682346029152626, 3.1038540431183037, 3.4831938563526816, 0.7932338605308301
10, 0.009001229340254064, -0.6631277953657289, 1.3673776188663638, -0.0017752475854893035, 0.03260105422020487, -0.16795722890261544, 3.1035197911588597, 3.4830994835343527, 0.7947686945406519
11, 0.010001365933615626, -0.6631295706133143, 1.367410219920584, -0.001943204814391919, 0.03570457401136373, -0.16765344768021606, 3.1031537368608753, 3.4830040301388547, 0.7963015563844824
12, 0.011001502526977187, -0.6631315138181287, 1.3674459244945953, -0.002110858262072135, 0.03880772774822461, -0.1673232651322465, 3.1027558904384023, 3.4829075094345, 0.7978324299038695
13, 0.01200163912033875, -0.6631336246763908, 1.3674847322223436, -0.0022781815272043815, 0.04191048363866301, -0.16696668214688515, 3.1023262598850465, 3.482809935062278, 0.7993612989699352
14, 0.013001775713700314, -0.663135902857918, 1.3675266427059822, -0.0024451482093512666, 0.045012809898548056, -0.16658370272093492, 3.101864855192815, 3.4827113204932965, 0.8008881474067922
15, 0.014001912307061876, -0.6631383480061274, 1.3675716555158808, -0.0026117319120722016, 0.04811467475374087, -0.16617433196142173, 3.101371689906429, 3.4826116792006507, 0.8024129590397084
16, 0.015002048900423438, -0.6631409597380394, 1.3676197701906345, -0.0027779062440336233, 0.0512160464436473, -0.1657385719777693, 3.100846771575405, 3.4825110248236775, 0.8039357176536384
17, 0.016002185493785, -0.6631437376442835, 1.3676709862370782, -0.0029436448160113926, 0.054316893215222706, -0.16527642732189207, 3.100290115298776, 3.4824093709647053, 0.8054564070574222
18, 0.017002322087146565, -0.6631466812890995, 1.3677253031302934, -0.0031089212433332847, 0.05741718333052148, -0.16478790432206125, 3.099701735065352, 3.4823067311076397, 0.8069750110023426
19, 0.018002458680508128, -0.6631497902103428, 1.367782720313624, -0.003273709147655346, 0.060516885065586834, -0.164273004865656, 3.0990816408671407, 3.482203119040403, 0.8084915132433004
20, 0.019002595273869688, -0.6631530639194905, 1.3678432371986895, -0.003437982152521002, 0.06361596670645397, -0.16373173616912595, 3.0984298522440668, 3.482098548327362, 0.8100058975389394
21, 0.02000273186723125, -0.663156501901643, 1.367906853165396, -0.003601713888690128, 0.06671439655869804, -0.16316410278438553, 3.097746381186539, 3.481993032649685, 0.81151814758854
22, 0.021002868460592815, -0.6631601036155317, 1.3679735675619547, -0.0037648779914745134, 0.06981214293988458, -0.16257010926334914, 3.0970312434597247, 3.4818865857768944, 0.813028247112764
23, 0.022003005053954375, -0.6631638684935232, 1.3680433797048945, -0.0039274481007378625, 0.0729091741833443, -0.16194976315553333, 3.0962844603799056, 3.4817792213685435, 0.814536179830051
24, 0.023003141647315938, -0.6631677959416239, 1.3681162888790779, -0.004089397863893396, 0.07600545864372421, -0.1613030685687633, 3.0955060428272674, 3.481670953215769, 0.816041929380329
25, 0.0240032782406775, -0.6631718853394878, 1.3681922943377216, -0.004250700932462159, 0.07910096468655148, -0.16063003260846642, 3.0946960143385382, 3.4815617951067446, 0.8175454794770582
26, 0.025003414834039065, -0.6631761360404202, 1.3682713953024082, -0.004411330965070626, 0.08219566070089002, -0.15993066293518154, 3.0938543933434204, 3.4814517607415483, 0.8190468137548955
27, 0.02600355142740063, -0.6631805473713853, 1.368353590963109, -0.004571261628005807, 0.08528951509423344, -0.15920496310162235, 3.0929811956070807, 3.4813408641185526, 0.820545915864074
28, 0.02700368802076219, -0.6631851186330133, 1.3684388804782033, -0.0047304665911074295, 0.08838249628984052, -0.15845294365490759, 3.0920764473307827, 3.481229118900088, 0.82204276944641
29, 0.028003824614123752, -0.6631898490996044, 1.3685272629744931, -0.004888919534762337, 0.0914745727371713, -0.15767460948001855, 3.091140165389916, 3.4811165390618846, 0.8235373581132954
30, 0.029003961207485315, -0.6631947380191392, 1.3686187375472303, -0.005046594144242356, 0.09456571290256122, -0.1568699683485164, 3.090172373543254, 3.481003138497852, 0.8250296654909376
