ID, Time, Theta_1, Theta_2, D_Theta_1, D_Theta_2, DD_Theta_1, DD_Theta_2, Torque_1, Torque_2
1, 0.0, -2.0029742624466826, 1.5476192687790908, 0.02899207122939451, 0.07773763539618006, 1.95816284161765, 5.154709289856285, -0.35012264148139827, 0.9981776911850474
2, 0.01, -2.0026843417343887, 1.5483966451330526, 0.04857369964557101, 0.1292847282947429, 1.9961762725762, 5.113050793887908, -0.33738060657593716, 1.0243875917646967
3, 0.02, -2.002198604737933, 1.549689492416, 0.06853546237133301, 0.180415236233622, 2.049347783632527, 5.054809395037552, -0.322976219065231, 1.0506781428393133
4, 0.03, -2.0015132501142197, 1.5514936447783363, 0.08902894020765828, 0.2309633301839975, 2.1176303364711657, 4.980061618604648, -0.3068271289171045, 1.0769620412880299
5, 0.04, -2.000622960712143, 1.5538032780801763, 0.11020524357236994, 0.280763946370044, 2.2009637213704636, 4.8889003056196145, -0.2888482567164953, 1.1031506892244773
6, 0.05, -1.9995209082764194, 1.5566109175438767, 0.13221488078607457, 0.3296529494262401, 2.2992745949212967, 4.781430662161856, -0.2689518288161079, 1.1291543012547653
7, 0.06, -1.9981987594685586, 1.559907447038139, 0.15520762673528754, 0.3774672560478587, 2.412476349074044, 4.657765656892465, -0.24704740950359128, 1.1548819993725319
8, 0.07, -1.9966466832012058, 1.5636821195986177, 0.17933239022602798, 0.42404491261678334, 2.5404687113694813, 4.518020891237651, -0.22304193468707778, 1.1802418920017401
9, 0.08, -1.9948533592989455, 1.5679225687247855, 0.2047370773397228, 0.46922512152915985, 2.6831369633439905, 4.36230908050339, -0.19683975256768171, 1.2051411343312157
10, 0.09, -1.9928059885255482, 1.5726148199400771, 0.2315684469731627, 0.5128482123341938, 2.8403506532748146, 4.190734294509113, -0.16834267775543255, 1.2294859678115349
11, 0.1, -1.9904903040558166, 1.577743302063419, 0.25997195350591085, 0.5547555552792849, 3.0119616713930597, 4.003386113049512, -0.1374500662502124, 1.253181737491281
